slug,player_name,position,school,current_generated_primary_concerns,current_public_primary_concerns_override,reviewed_primary_concerns,review_status,owner_notes
jack-pyburn,Jack Pyburn,EDGE,LSU Tigers,"- Total hurry volume (4.0) leaves less evidence of sustained rush disruption.
- PFF grade 72.9 suggests current performance volatility that needs film-confirmed cleanup.","- Total hurry volume (4.0) leaves less evidence of sustained rush disruption.
- PFF grade 72.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
fernando-carmona,Fernando Carmona,IOL,Arkansas Razorbacks,"- PFF grade 71.3 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 71.3 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
jaylon-guilbeau,Jaylon Guilbeau,CB,Texas Longhorns,"- PFF grade 65.4 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 65.4 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
behren-morton,Behren Morton,QB,Texas Tech Red Raiders,"- PFF grade 72.0 suggests current performance volatility that needs film-confirmed cleanup.
- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- PFF grade 72.0 suggests current performance volatility that needs film-confirmed cleanup.
- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
colbie-young,Colbie Young,WR,Georgia,"- Target-earning rate (12.5% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Target-earning rate (12.5% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
joe-fagnano,Joe Fagnano,QB,Connecticut Huskies,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
sawyer-robertson,Sawyer Robertson,QB,Baylor Bears,"- Turnover risk needs cleanup (12 INT) before high-leverage starter projection is stable.
- PFF grade 70.3 suggests current performance volatility that needs film-confirmed cleanup.","- Turnover risk needs cleanup (12 INT) before high-leverage starter projection is stable.
- PFF grade 70.3 suggests current performance volatility that needs film-confirmed cleanup.",,,
brandon-cleveland,Brandon Cleveland,DT,North Carolina State Wolfpack,"- PFF grade 72.1 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 72.1 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
cameron-ball,Cameron Ball,DT,Arkansas Razorbacks,"- PFF grade 70.6 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 70.6 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
ahmaad-moses,Ahmaad Moses,S,SMU Mustangs,"- PFF grade 69.8 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 69.8 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
adam-randall,Adam Randall,RB,Clemson Tigers,"- Lack of explosive-run creation (11.1% explosive rate) narrows home-run ceiling.
- PFF grade 72.5 suggests current performance volatility that needs film-confirmed cleanup.","- Lack of explosive-run creation (11.1% explosive rate) narrows home-run ceiling.
- PFF grade 72.5 suggests current performance volatility that needs film-confirmed cleanup.",,,
dillon-wade,Dillon Wade,IOL,Auburn Tigers,"- PFF grade 59.6 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 59.6 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
rahsul-faison,Rahsul Faison,RB,South Carolina Gamecocks,"- Lack of explosive-run creation (11.0% explosive rate) narrows home-run ceiling.
- PFF grade 68.8 suggests current performance volatility that needs film-confirmed cleanup.","- Lack of explosive-run creation (11.0% explosive rate) narrows home-run ceiling.
- PFF grade 68.8 suggests current performance volatility that needs film-confirmed cleanup.",,,
jalen-walthall,Jalen Walthall,WR,Incarnate Word,"- Scouting concern to verify: >.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Scouting concern to verify: >.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
cj-donaldson,CJ Donaldson,RB,Ohio State Buckeyes,"- Lack of explosive-run creation (9.7% explosive rate) narrows home-run ceiling.
- PFF grade 73.2 suggests current performance volatility that needs film-confirmed cleanup.","- Lack of explosive-run creation (9.7% explosive rate) narrows home-run ceiling.
- PFF grade 73.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
bauer-sharp,Bauer Sharp,TE,LSU Tigers,"- Route-level efficiency is light for top projection tiers (YPRR 1.82).
- Target-earning rate (8.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 47.7 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.82).
- Target-earning rate (8.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 47.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
jackie-marshall,Jackie Marshall,DT,Baylor,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 55.7 suggests current performance volatility that needs film-confirmed cleanup.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 55.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
barion-brown,Barion Brown,WR,LSU,"- Route-level efficiency is light for top projection tiers (YPRR 1.75).
- Target-earning rate (16.6% share) suggests volume translation risk against NFL coverage.
- PFF grade 68.5 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.75).
- Target-earning rate (16.6% share) suggests volume translation risk against NFL coverage.
- PFF grade 68.5 suggests current performance volatility that needs film-confirmed cleanup.",,,
avery-smith,Avery Smith,CB,Toledo Rockets,"- Long-speed percentile is below ideal outside-CB threshold, increasing vertical stress risk.
- PFF grade 70.6 suggests current performance volatility that needs film-confirmed cleanup.","- Long-speed percentile is below ideal outside-CB threshold, increasing vertical stress risk.
- PFF grade 70.6 suggests current performance volatility that needs film-confirmed cleanup.",,,
gary-smith-iii,Gary Smith III,DT,UCLA Bruins,"- Lower-body explosion is below preferred interior disruption threshold.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Lower-body explosion is below preferred interior disruption threshold.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
harrison-wallace-iii,Harrison Wallace III,WR,Mississippi Rebels,"- Target-earning rate (17.6% share) suggests volume translation risk against NFL coverage.
- PFF grade 73.1 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (17.6% share) suggests volume translation risk against NFL coverage.
- PFF grade 73.1 suggests current performance volatility that needs film-confirmed cleanup.",,,
dillon-bell,Dillon Bell,WR,Georgia Bulldogs,"- Route-level efficiency is light for top projection tiers (YPRR 1.74).
- Target-earning rate (10.4% share) suggests volume translation risk against NFL coverage.
- PFF grade 57.7 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.74).
- Target-earning rate (10.4% share) suggests volume translation risk against NFL coverage.
- PFF grade 57.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
caullin-lacy,Caullin Lacy,WR,Louisville Cardinals,"- Route-level efficiency is light for top projection tiers (YPRR 1.83).
- Target-earning rate (18.2% share) suggests volume translation risk against NFL coverage.
- PFF grade 66.7 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.83).
- Target-earning rate (18.2% share) suggests volume translation risk against NFL coverage.
- PFF grade 66.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
jaren-kanak,Jaren Kanak,TE,Oklahoma Sooners,"- Target-earning rate (11.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 63.9 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (11.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 63.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
garrett-digiorgio,Garrett DiGiorgio,IOL,UCLA Bruins,"- PFF grade 67.2 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 67.2 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
